Consume,JFSP Fuels Database,DataBaseInR
fuelbed_number,NA,NA
filename,NA,NA
cover_type,NA,NA
ecoregion,NA,NA
overstory_loading,os_loading,os_loading..Mg.ha
midstory_loading,ms_loading,ms_loading..Mg.ha
understory_loading,us_loading,us_loading..Mg.ha
NA,tree_loading,tree_loading..Mg.ha
snags_c1_foliage_loading,snag_loading,snag_loading..Mg.ha
snags_c1wo_foliage_loading,NA,NA
snags_c1_wood_loading,NA,NA
snags_c2_loading,NA,NA
snags_c3_loading,NA,NA
shrubs_primary_loading,shrub_loading,shrub_loading..Mg.ha
shrubs_secondary_loading,NA,NA
shrubs_primary_perc_live,NA,NA
shrubs_secondary_perc_live,NA,NA
nw_primary_loading,herb_loading,herb_loading..Mg.ha
nw_secondary_loading,NA,NA
nw_primary_perc_live,herb_percentlive,herb_percentlive
nw_secondary_perc_live,NA,NA
litter_depth,litter_depth,litter_depth..cm
litter_loading,litter_loading,litter_loading..Mg.ha
lichen_depth,NA,NA
lichen_loading,lichen_loading,lichen_loading..Mg.ha
moss_depth,NA,NA
moss_loading,moss_loading,moss_loading..Mg.ha
basal_accum_loading,NA,NA
squirrel_midden_loading,NA,NA
ladderfuels_loading,NA,NA
duff_upper_loading,duff_loading,duff_loading..Mg.ha
duff_lower_loading,NA,NA
duff_upper_depth,duff_depth,duff_depth..cm
duff_lower_depth,NA,NA
w_sound_0_quarter_loading,1hr_loading,X1hr_loading..Mg.ha
w_sound_quarter_1_loading,10hr_loading,X10hr_loading..Mg.ha
w_sound_1_3_loading,100hr_loading,X100hr_loading..Mg.ha
w_sound_3_9_loading,1000hrS_loading,X1000hrS_loading..Mg.ha
w_sound_9_20_loading,10000hrS_loading,X10000hrS_loading..Mg.ha
w_sound_gt20_loading,GT10000hrS_loading,GT10000hrS_loading
w_rotten_3_9_loading,1000hrR_loading,X1000hrR_loading..Mg.ha
w_rotten_9_20_loading,10000hrR_loading,X10000hrR_loading..Mg.ha
w_rotten_gt20_loading,GT10000hrR_loading,GT10000hrR_loading
w_stump_sound_loading,NA,NA
w_stump_rotten_loading,NA,NA
w_stump_lightered_loading,NA,NA
pile_clean_loading,NA,NA
pile_dirty_loading,NA,NA
pile_vdirty_loading,NA,NA
Total_available_fuel_loading,NA,NA
efg_natural,NA,NA
efg_activity,NA,NA
