fueltype,ConsumeNames,tally
os_loading,overstory_loading,59
ms_loading,midstory_loading,59
us_loading,understory_loading,59
tree_loading,NA,13769
snag_loading,snags_c1_foliage_loading,13746
shrub_loading,shrubs_primary_loading,14306
herb_loading,nw_primary_loading,16366
herb_percentlive,nw_primary_perc_live,1460
moss_loading,moss_loading,59
lichen_loading,lichen_loading,40
litter_loading,litter_loading,16095
litter_depth,litter_depth,1898
duff_loading,duff_upper_loading,15794
duff_depth,duff_upper_depth,2209
X1hr_loading,w_sound_0_quarter_loading,17864
X10hr_loading,w_sound_quarter_1_loading,22508
X100hr_loading,w_sound_1_3_loading,22498
fwd_loading,NA,17835
X1000hrS_loading,w_sound_3_9_loading,8003
X1000hrR_loading,w_rotten_3_9_loading,8002
X1000hr_loading,NA,8388
X10000hrS_loading,w_sound_9_20_loading,7788
X10000hrR_loading,w_rotten_9_20_loading,7788
X10000hr_loading,NA,7792
GT10000hrS_loading,w_sound_gt20_loading,7765
GT10000hrR_loading,w_rotten_gt20_loading,7765
GT10000hr_loading,NA,7765
cwd_sound_loading,NA,9188
cwd_rotten_loading,NA,9188
cwd_loading,NA,23101
