,CWD,Duff,Litter
655_Q1,109,25,51.1704628
655_Q2,269,58,77.16954049
655_Q3,394,288,113.2945748
655_Min,5,2,0
655_Max,1021,1101,216.488107
655_FB266,443,270,49.20313807
655_FLM13,223,29,43.27267519
682_Q1,158,69,45.51452309
682_Q2,290,307,72.88197329
682_Q3,404,569,108.0035344
682_Min,6,2,0
682_Max,1095,1949,259.5735961
682_FB110,469,303,52.47511759
682_FLM31,152,275,30.38925583
666_Q1,84,25,20.88381791
666_Q2,209,32,55.54925483
666_Q3,370,100,98.88105098
666_Min,5,2,0
666_Max,1094,489,392.6888739
666_FB129,319,19,11.16637615
666_FLM13,223,29,43.27267519
683_Q1,58,438,24.53281127
683_Q2,157,971,57.00885217
683_Q3,246,1414,97.78635297
683_Min,9,25,0
683_Max,506,4318,332.7632804
683_FB279,426,12352,10.75737871
683_FLM101,133,3630,196.4422165
631_Q1,132,35,25.62750927
631_Q2,277,159,49.98453995
631_Q3,364,372,100.0669738
631_Min,5,2,0
631_Max,1850,1436,396.6389092
631_FB53,640,395,22.82280319
631_FLM31,126,275,30.38925583
625_Q1,241,76,34.74999267
625_Q2,383,239,58.92457369
625_Q3,667,510,106.8176115
625_Min,10,3,0
625_Max,2352,1808,373.4678013
625_FB52,292,284,30.59375455
625_FLM21,78,93,15.86984671
