"Var1","Freq"
12,2
21,2
22,1
31,13
201,438
202,65
203,44
204,31
205,16
206,14
207,17
601,48
602,138
603,105
604,144
606,5
607,72
609,4
610,187
611,3
612,93
613,53
614,990
615,1445
616,2
617,116
618,28
619,11
620,617
621,29
622,882
623,21
624,1309
625,893
626,462
627,350
628,69
629,162
630,626
631,1426
632,90
633,169
634,16
635,136
636,20
637,3
638,132
639,995
640,281
642,1118
643,1056
644,135
645,368
646,46
647,22
648,21
649,88
650,3
652,346
653,21
655,167
656,236
657,55
658,10
659,71
660,1161
661,276
662,355
663,203
664,51
665,229
666,1548
667,147
668,123
669,12
670,28
671,3
672,33
673,14
674,8
675,49
676,89
677,114
678,2
679,79
680,457
682,415
683,69
684,1132
685,145
686,81
687,27
689,125
690,137
691,48
692,10
693,304
694,235
695,84
696,140
697,1320
700,34
702,26
703,16
704,8
706,1
707,61
708,5
740,347
750,9
755,1
756,48
757,6
758,131
762,6
764,1
765,3
767,8
770,1
773,6
774,3
775,9
777,4
781,15
782,10
783,1
784,20
786,14
790,1
791,8
792,7
793,6
794,1
795,12
