"fueltype","tally"
"us_loading..Mg.ha",59
"ms_loading..Mg.ha",59
"os_loading..Mg.ha",59
"tree_crown_loading..Mg.ha",185
"tree_loading..Mg.ha",13710
"snag_loading..Mg.ha",13807
"shrub_loading..Mg.ha",20536
"herb_loading..Mg.ha",23901
"herb_percentlive",1697
"X1hr_loading..Mg.ha",21048
"X10hr_loading..Mg.ha",25705
"X100hr_loading..Mg.ha",25675
"fwd_loading..Mg.ha",4057
"X1KhrS_loading..Mg.ha",8270
"X1KhrR_loading..Mg.ha",8242
"X1Khr_loading..Mg.ha",859
"X10KhrS_loading..Mg.ha",7803
"X10KhrR_loading..Mg.ha",7801
"X10Khr_loading..Mg.ha",245
"GT10KhrS_loading..Mg.ha",7778
"GT10KhrR_loading..Mg.ha",7778
"cwd_sound_loading..Mg.ha",11645
"cwd_rotten_loading..Mg.ha",11458
"cwd_loading..Mg.ha",28556
"moss_loading..Mg.ha",174
"lichen_loading..Mg.ha",152
"litter_depth..cm",8350
"litter_loading..Mg.ha",23139
"duff_depth..cm",8826
"duff_loading..Mg.ha",22599
