"Var1","Freq"
"200",2
"201",384
"202",115
"203",156
"204",33
"205",33
"206",56
"207",11
"601",45
"602",116
"603",93
"604",310
"607",78
"609",4
"610",179
"611",132
"612",86
"613",157
"614",620
"615",1345
"616",2
"617",157
"618",67
"619",15
"620",607
"621",15
"622",463
"623",29
"624",1322
"625",785
"626",324
"627",344
"628",40
"629",166
"630",571
"631",1093
"632",77
"633",151
"634",16
"635",116
"636",41
"637",11
"638",130
"639",556
"640",269
"641",12
"642",1100
"643",902
"644",46
"645",366
"646",75
"647",2
"648",13
"649",33
"650",1
"652",319
"653",21
"655",167
"656",236
"657",55
"658",10
"659",71
"660",1035
"661",193
"662",355
"663",191
"664",20
"665",227
"666",1548
"667",120
"668",123
"669",2
"670",29
"671",3
"672",25
"673",14
"674",8
"675",15
"676",75
"677",80
"678",1
"679",74
"680",457
"682",400
"683",68
"684",941
"685",129
"686",52
"687",25
"689",88
"690",114
"691",24
"692",15
"693",301
"694",235
"695",77
"696",141
"697",4
"700",311
"701",1
"702",77
"703",26
"704",15
"706",2
"707",55
"708",5
"740",206
"750",1
"1003",136
"1004",15
"1005",1257
"1008",8
"1009",7
"1010",40
"1011",5
"1012",1
"1013",3
"1014",5
"1018",12
"1019",2
"1020",33
"1024",6
"1026",1
"1028",4
"1029",4
"1031",8
"1032",8
